week_index,week_label,week_start_2019_20,diagnosis,2017-18,2017-18(x),2018-19,2019-20,asr_change_vs_2018_19,pct_change_vs_2018_19
18,29 December-4 January,2019-12-29,Cardiovascular diseases,15.8,,14.23,14.06,-0.17,-1.2
18,29 December-4 January,2019-12-29,Cerebrovascular diseases,,1.43,2.88,2.79,-0.09,-3.1
18,29 December-4 January,2019-12-29,Chest pain,25.79,,27.74,26.68,-1.06,-3.8
18,29 December-4 January,2019-12-29,Dehydration,1.81,,2.83,2.63,-0.2,-7.1
18,29 December-4 January,2019-12-29,Diseases of the respiratory system,49.42,,50.94,57.67,6.73,13.2
18,29 December-4 January,2019-12-29,Mental and behavioural disorders,26.59,,30.19,27.71,-2.48,-8.2
19,5-11 January,2020-01-05,Abnormalities of breathing,6.29,,7.4,8.3,0.9,12.2
19,5-11 January,2020-01-05,Acute myocardial infarction,2.13,,2.14,2.26,0.12,5.6
19,5-11 January,2020-01-05,Asthma,4.51,,4.43,5.8,1.37,30.9
19,5-11 January,2020-01-05,COPD with acute exacerbation,0.88,,1.56,2.1,0.54,34.6
19,5-11 January,2020-01-05,Cardiovascular diseases,15.42,,14.08,13.4,-0.68,-4.8
19,5-11 January,2020-01-05,Cerebrovascular diseases,,1.45,3.1,3.11,0.01,0.3
19,5-11 January,2020-01-05,Chest pain,25.35,,27.44,28.95,1.51,5.5
19,5-11 January,2020-01-05,Dehydration,2.24,,1.62,2.01,0.39,24.1
19,5-11 January,2020-01-05,Diseases of the respiratory system,39.3,,39.67,43.7,4.03,10.2
19,5-11 January,2020-01-05,Mental and behavioural disorders,24.48,,25.41,24.32,-1.09,-4.3
20,12-18 January,2020-01-12,Abnormalities of breathing,6.05,,7.38,7.36,-0.02,-0.3
20,12-18 January,2020-01-12,Acute myocardial infarction,2.23,,1.98,2.2,0.22,11.1
20,12-18 January,2020-01-12,Asthma,3.62,,4.12,4.34,0.22,5.3
20,12-18 January,2020-01-12,COPD with acute exacerbation,0.92,,1.15,1.88,0.73,63.5
20,12-18 January,2020-01-12,Cardiovascular diseases,16.18,,13.39,14.36,0.97,7.2
20,12-18 January,2020-01-12,Cerebrovascular diseases,,1.45,3.01,2.87,-0.14,-4.7
20,12-18 January,2020-01-12,Chest pain,26.68,,27.46,27.59,0.13,0.5
20,12-18 January,2020-01-12,Dehydration,1.64,,2.8,1.49,-1.31,-46.8
20,12-18 January,2020-01-12,Diseases of the respiratory system,34.71,,35.66,36.97,1.31,3.7
20,12-18 January,2020-01-12,Mental and behavioural disorders,23.5,,25.77,23.39,-2.38,-9.2
21,19-25 January,2020-01-19,Abnormalities of breathing,6.58,,7.42,8.13,0.71,9.6
21,19-25 January,2020-01-19,Acute myocardial infarction,1.93,,2.46,2.83,0.37,15.0
21,19-25 January,2020-01-19,Asthma,4.12,,4.26,4.34,0.08,1.9
21,19-25 January,2020-01-19,COPD with acute exacerbation,0.85,,1.52,2.02,0.5,32.9
21,19-25 January,2020-01-19,Cardiovascular diseases,15.39,,13.82,14.74,0.92,6.7
21,19-25 January,2020-01-19,Cerebrovascular diseases,,1.25,3.08,3.29,0.21,6.8
21,19-25 January,2020-01-19,Chest pain,25.15,,28.09,29.87,1.78,6.3
21,19-25 January,2020-01-19,Dehydration,2.58,,2.66,1.55,-1.11,-41.7
21,19-25 January,2020-01-19,Diseases of the respiratory system,35.75,,37.25,40.75,3.5,9.4
21,19-25 January,2020-01-19,Mental and behavioural disorders,25.18,,25.03,24.7,-0.33,-1.3
22,26 January-1 February,2020-01-26,Abnormalities of breathing,7.6,,8.38,8.96,0.58,6.9
22,26 January-1 February,2020-01-26,Acute myocardial infarction,2.02,,2.29,2.36,0.07,3.1
22,26 January-1 February,2020-01-26,Asthma,4.05,,4.91,4.64,-0.27,-5.5
22,26 January-1 February,2020-01-26,COPD with acute exacerbation,0.63,,1.27,1.7,0.43,33.9
22,26 January-1 February,2020-01-26,Cardiovascular diseases,14.81,,12.99,13.21,0.22,1.7
22,26 January-1 February,2020-01-26,Cerebrovascular diseases,,1.47,2.55,3.09,0.54,21.2
22,26 January-1 February,2020-01-26,Chest pain,26.01,,26.58,29.3,2.72,10.2
22,26 January-1 February,2020-01-26,Dehydration,1.97,,2.45,2.13,-0.32,-13.1
22,26 January-1 February,2020-01-26,Diseases of the respiratory system,37.47,,42.92,52.37,9.45,22.0
22,26 January-1 February,2020-01-26,Mental and behavioural disorders,25.48,,27.43,25.67,-1.76,-6.4
23,2-8 February,2020-02-02,Abnormalities of breathing,7.83,,9.72,7.76,-1.96,-20.2
23,2-8 February,2020-02-02,Acute myocardial infarction,2.07,,1.93,2.36,0.43,22.3
23,2-8 February,2020-02-02,Asthma,6.11,,5.67,5.17,-0.5,-8.8
23,2-8 February,2020-02-02,COPD with acute exacerbation,0.73,,1.34,1.73,0.39,29.1
23,2-8 February,2020-02-02,Cardiovascular diseases,14.83,,13.6,13.48,-0.12,-0.9
23,2-8 February,2020-02-02,Cerebrovascular diseases,,1.25,3.1,2.84,-0.26,-8.4
23,2-8 February,2020-02-02,Chest pain,25.51,,28.29,27.63,-0.66,-2.3
23,2-8 February,2020-02-02,Dehydration,1.22,,1.83,1.72,-0.11,-6.0
23,2-8 February,2020-02-02,Diseases of the respiratory system,38.74,,43.14,46.86,3.72,8.6
23,2-8 February,2020-02-02,Mental and behavioural disorders,24.26,,25.73,22.61,-3.12,-12.1
24,9-15 February,2020-02-09,Abnormalities of breathing,9.25,,10.53,9.94,-0.59,-5.6
24,9-15 February,2020-02-09,Acute myocardial infarction,2.15,,2.11,2.55,0.44,20.9
24,9-15 February,2020-02-09,Asthma,8.74,,8.54,5.63,-2.91,-34.1
24,9-15 February,2020-02-09,COPD with acute exacerbation,0.92,,1.46,1.52,0.06,4.1
24,9-15 February,2020-02-09,Cardiovascular diseases,15.98,,13.71,14.1,0.39,2.8
24,9-15 February,2020-02-09,Cerebrovascular diseases,,1.44,2.98,2.86,-0.12,-4.0
24,9-15 February,2020-02-09,Chest pain,26.44,,26.89,29.66,2.77,10.3
24,9-15 February,2020-02-09,Dehydration,1.52,,1.63,1.25,-0.38,-23.3
24,9-15 February,2020-02-09,Diseases of the respiratory system,45.34,,49.41,46.2,-3.21,-6.5
24,9-15 February,2020-02-09,Mental and behavioural disorders,25.56,,26.04,24.12,-1.92,-7.4
25,16-22 February,2020-02-16,Abnormalities of breathing,9.01,,10.24,10.03,-0.21,-2.1
25,16-22 February,2020-02-16,Acute myocardial infarction,1.85,,2.46,2.35,-0.11,-4.5
25,16-22 February,2020-02-16,Asthma,7.55,,8.98,7.25,-1.73,-19.3
25,16-22 February,2020-02-16,COPD with acute exacerbation,0.79,,1.53,1.66,0.13,8.5
25,16-22 February,2020-02-16,Cardiovascular diseases,14.94,,14.1,13.78,-0.32,-2.3
25,16-22 February,2020-02-16,Cerebrovascular diseases,,1.38,2.91,2.95,0.04,1.4
25,16-22 February,2020-02-16,Chest pain,26.68,,29.9,28.62,-1.28,-4.3
25,16-22 February,2020-02-16,Dehydration,1.39,,1.44,1.53,0.09,6.3
25,16-22 February,2020-02-16,Diseases of the respiratory system,43.75,,52.5,54.36,1.86,3.5
25,16-22 February,2020-02-16,Mental and behavioural disorders,25.44,,26.12,24.26,-1.86,-7.1
26,23 Feb-1 Mar/29 Feb,2020-02-23,Abnormalities of breathing,8.27,,10.16,9.56,-0.6,-5.9
26,23 Feb-1 Mar/29 Feb,2020-02-23,Acute myocardial infarction,2.22,,2.37,2.16,-0.21,-8.9
26,23 Feb-1 Mar/29 Feb,2020-02-23,Asthma,6.98,,8.51,6.34,-2.17,-25.5
26,23 Feb-1 Mar/29 Feb,2020-02-23,COPD with acute exacerbation,0.78,,1.2,1.49,0.29,24.2
26,23 Feb-1 Mar/29 Feb,2020-02-23,Cardiovascular diseases,16.55,,14.21,13.37,-0.84,-5.9
26,23 Feb-1 Mar/29 Feb,2020-02-23,Cerebrovascular diseases,,1.49,2.96,2.67,-0.29,-9.8
26,23 Feb-1 Mar/29 Feb,2020-02-23,Chest pain,26.97,,30.51,27.08,-3.43,-11.2
26,23 Feb-1 Mar/29 Feb,2020-02-23,Dehydration,1.4,,1.38,1.13,-0.25,-18.1
26,23 Feb-1 Mar/29 Feb,2020-02-23,Diseases of the respiratory system,43.13,,51.22,55.09,3.87,7.6
26,23 Feb-1 Mar/29 Feb,2020-02-23,Mental and behavioural disorders,25.22,,27.19,24.6,-2.59,-9.5
31,1-7 September,2020-03-29,Abnormalities of breathing,8.16,,8.69,9.25,0.56,6.4
31,1-7 September,2020-03-29,Acute myocardial infarction,3.61,,3.63,3.63,0.0,0.0
31,1-7 September,2020-03-29,Asthma,5.75,,6.32,6.26,-0.06,-0.9
31,1-7 September,2020-03-29,COPD with acute exacerbation,2.01,,1.95,2.37,0.42,21.5
31,1-7 September,2020-03-29,Cardiovascular diseases,22.14,,17.33,18.08,0.75,4.3
31,1-7 September,2020-03-29,Cerebrovascular diseases,,2.02,3.47,3.64,0.17,4.9
31,1-7 September,2020-03-29,Chest pain,29.2,,30.28,29.94,-0.34,-1.1
31,1-7 September,2020-03-29,Dehydration,1.39,,1.25,1.23,-0.02,-1.6
31,1-7 September,2020-03-29,Diseases of the respiratory system,83.44,,66.56,71.51,4.95,7.4
31,1-7 September,2020-03-29,Mental and behavioural disorders,24.35,,27.09,26.22,-0.87,-3.2
32,8-14 September,2020-04-05,Abnormalities of breathing,8.65,,9.39,9.17,-0.22,-2.3
32,8-14 September,2020-04-05,Acute myocardial infarction,2.76,,3.49,3.15,-0.34,-9.7
32,8-14 September,2020-04-05,Asthma,6.02,,6.28,5.93,-0.35,-5.6
32,8-14 September,2020-04-05,COPD with acute exacerbation,1.59,,2.07,1.7,-0.37,-17.9
32,8-14 September,2020-04-05,Cardiovascular diseases,21.53,,18.2,16.69,-1.51,-8.3
32,8-14 September,2020-04-05,Cerebrovascular diseases,,1.5,3.24,3.27,0.03,0.9
32,8-14 September,2020-04-05,Chest pain,28.07,,29.66,31.17,1.51,5.1
32,8-14 September,2020-04-05,Dehydration,2.13,,1.14,1.4,0.26,22.8
32,8-14 September,2020-04-05,Diseases of the respiratory system,79.7,,66.63,65.1,-1.53,-2.3
32,8-14 September,2020-04-05,Mental and behavioural disorders,24.73,,27.13,27.11,-0.02,-0.1
33,15-21 September,2020-04-12,Abnormalities of breathing,8.02,,8.75,9.53,0.78,8.9
33,15-21 September,2020-04-12,Acute myocardial infarction,3.25,,3.21,3.88,0.67,20.9
33,15-21 September,2020-04-12,Asthma,5.31,,5.73,5.8,0.07,1.2
33,15-21 September,2020-04-12,COPD with acute exacerbation,1.84,,2.08,1.87,-0.21,-10.1
33,15-21 September,2020-04-12,Cardiovascular diseases,20.43,,17.76,17.57,-0.19,-1.1
33,15-21 September,2020-04-12,Cerebrovascular diseases,,1.87,3.57,3.48,-0.09,-2.5
33,15-21 September,2020-04-12,Chest pain,27.36,,27.58,31.54,3.96,14.4
33,15-21 September,2020-04-12,Dehydration,1.83,,1.19,1.51,0.32,26.9
33,15-21 September,2020-04-12,Diseases of the respiratory system,74.56,,63.08,65.63,2.55,4.0
33,15-21 September,2020-04-12,Mental and behavioural disorders,25.91,,28.42,28.17,-0.25,-0.9
34,22-28 September,2020-04-19,Abnormalities of breathing,7.87,,8.65,10.12,1.47,17.0
34,22-28 September,2020-04-19,Acute myocardial infarction,2.69,,3.65,3.14,-0.51,-14.0
34,22-28 September,2020-04-19,Asthma,5.52,,6.29,5.18,-1.11,-17.6
34,22-28 September,2020-04-19,COPD with acute exacerbation,1.79,,1.98,1.96,-0.02,-1.0
34,22-28 September,2020-04-19,Cardiovascular diseases,19.14,,17.05,17.08,0.03,0.2
34,22-28 September,2020-04-19,Cerebrovascular diseases,,1.64,3.67,3.37,-0.3,-8.2
34,22-28 September,2020-04-19,Chest pain,26.49,,27.71,31.04,3.33,12.0
34,22-28 September,2020-04-19,Dehydration,1.98,,1.45,1.13,-0.32,-22.1
34,22-28 September,2020-04-19,Diseases of the respiratory system,70.64,,61.64,63.68,2.04,3.3
34,22-28 September,2020-04-19,Mental and behavioural disorders,24.16,,27.83,29.19,1.36,4.9
35,29 September-5 October,2020-04-26,Abnormalities of breathing,8.1,,8.52,9.96,1.44,16.9
35,29 September-5 October,2020-04-26,Acute myocardial infarction,2.73,,3.25,3.6,0.35,10.8
35,29 September-5 October,2020-04-26,Asthma,4.77,,6.14,5.18,-0.96,-15.6
35,29 September-5 October,2020-04-26,COPD with acute exacerbation,1.37,,2.15,1.68,-0.47,-21.9
35,29 September-5 October,2020-04-26,Cardiovascular diseases,19.39,,17.23,18.0,0.77,4.5
35,29 September-5 October,2020-04-26,Cerebrovascular diseases,,1.67,3.55,3.04,-0.51,-14.4
35,29 September-5 October,2020-04-26,Chest pain,26.45,,25.77,28.4,2.63,10.2
35,29 September-5 October,2020-04-26,Dehydration,1.97,,1.02,1.48,0.46,45.1
35,29 September-5 October,2020-04-26,Diseases of the respiratory system,65.76,,64.7,64.01,-0.69,-1.1
35,29 September-5 October,2020-04-26,Mental and behavioural disorders,25.01,,28.11,26.96,-1.15,-4.1
36,6-12 October,2020-05-03,Abnormalities of breathing,7.13,,8.48,8.86,0.38,4.5
36,6-12 October,2020-05-03,Acute myocardial infarction,2.87,,2.86,3.64,0.78,27.3
36,6-12 October,2020-05-03,Asthma,4.22,,4.45,5.13,0.68,15.3
36,6-12 October,2020-05-03,COPD with acute exacerbation,1.03,,1.96,2.14,0.18,9.2
36,6-12 October,2020-05-03,Cardiovascular diseases,19.22,,17.35,17.28,-0.07,-0.4
36,6-12 October,2020-05-03,Cerebrovascular diseases,,1.74,4.06,3.84,-0.22,-5.4
36,6-12 October,2020-05-03,Chest pain,28.22,,30.4,30.88,0.48,1.6
36,6-12 October,2020-05-03,Dehydration,1.44,,1.2,1.46,0.26,21.7
36,6-12 October,2020-05-03,Diseases of the respiratory system,52.03,,55.41,59.63,4.22,7.6
36,6-12 October,2020-05-03,Mental and behavioural disorders,24.64,,26.99,26.0,-0.99,-3.7
37,13-19 October,2020-05-10,Abnormalities of breathing,7.21,,8.11,8.33,0.22,2.7
37,13-19 October,2020-05-10,Acute myocardial infarction,2.52,,3.37,3.94,0.57,16.9
37,13-19 October,2020-05-10,Asthma,5.54,,4.92,4.22,-0.7,-14.2
37,13-19 October,2020-05-10,COPD with acute exacerbation,1.26,,2.3,1.51,-0.79,-34.3
37,13-19 October,2020-05-10,Cardiovascular diseases,18.34,,18.14,17.95,-0.19,-1.0
37,13-19 October,2020-05-10,Cerebrovascular diseases,,1.92,3.36,3.92,0.56,16.7
37,13-19 October,2020-05-10,Chest pain,27.72,,29.17,31.5,2.33,8.0
37,13-19 October,2020-05-10,Dehydration,1.54,,0.91,1.35,0.44,48.4
37,13-19 October,2020-05-10,Diseases of the respiratory system,47.76,,51.8,49.92,-1.88,-3.6
37,13-19 October,2020-05-10,Mental and behavioural disorders,24.95,,29.58,27.27,-2.31,-7.8
38,20-26 October,2020-05-17,Abnormalities of breathing,8.13,,8.31,8.88,0.57,6.9
38,20-26 October,2020-05-17,Acute myocardial infarction,2.54,,3.48,3.69,0.21,6.0
38,20-26 October,2020-05-17,Asthma,7.72,,5.68,5.16,-0.52,-9.2
38,20-26 October,2020-05-17,COPD with acute exacerbation,0.89,,2.05,1.9,-0.15,-7.3
38,20-26 October,2020-05-17,Cardiovascular diseases,17.96,,17.63,16.91,-0.72,-4.1
38,20-26 October,2020-05-17,Cerebrovascular diseases,,1.63,3.45,3.59,0.14,4.1
38,20-26 October,2020-05-17,Chest pain,26.03,,28.27,28.34,0.07,0.2
38,20-26 October,2020-05-17,Dehydration,1.39,,1.2,1.88,0.68,56.7
38,20-26 October,2020-05-17,Diseases of the respiratory system,49.16,,49.47,51.37,1.9,3.8
38,20-26 October,2020-05-17,Mental and behavioural disorders,25.4,,29.38,27.64,-1.74,-5.9
39,27 October-2 November,2020-05-24,Abnormalities of breathing,9.88,,7.97,9.65,1.68,21.1
39,27 October-2 November,2020-05-24,Acute myocardial infarction,2.63,,3.15,3.25,0.1,3.2
39,27 October-2 November,2020-05-24,Asthma,8.35,,6.18,6.13,-0.05,-0.8
39,27 October-2 November,2020-05-24,COPD with acute exacerbation,1.14,,1.8,1.98,0.18,10.0
39,27 October-2 November,2020-05-24,Cardiovascular diseases,18.32,,17.16,16.27,-0.89,-5.2
39,27 October-2 November,2020-05-24,Cerebrovascular diseases,,1.71,3.11,3.98,0.87,28.0
39,27 October-2 November,2020-05-24,Chest pain,27.1,,27.66,29.44,1.78,6.4
39,27 October-2 November,2020-05-24,Dehydration,1.5,,1.37,0.98,-0.39,-28.5
39,27 October-2 November,2020-05-24,Diseases of the respiratory system,52.47,,50.78,53.09,2.31,4.5
39,27 October-2 November,2020-05-24,Mental and behavioural disorders,26.38,,30.33,28.02,-2.31,-7.6
40,3-9 November,2020-05-31,Abnormalities of breathing,7.7,,8.72,8.53,-0.19,-2.2
40,3-9 November,2020-05-31,Acute myocardial infarction,2.62,,3.22,3.02,-0.2,-6.2
40,3-9 November,2020-05-31,Asthma,8.36,,6.72,6.45,-0.27,-4.0
40,3-9 November,2020-05-31,COPD with acute exacerbation,0.93,,1.76,1.96,0.2,11.4
40,3-9 November,2020-05-31,Cardiovascular diseases,18.21,,15.78,15.87,0.09,0.6
40,3-9 November,2020-05-31,Cerebrovascular diseases,,1.73,3.48,3.45,-0.03,-0.9
40,3-9 November,2020-05-31,Chest pain,26.73,,29.67,28.14,-1.53,-5.2
40,3-9 November,2020-05-31,Dehydration,1.16,,1.76,1.28,-0.48,-27.3
40,3-9 November,2020-05-31,Diseases of the respiratory system,50.68,,52.25,50.85,-1.4,-2.7
40,3-9 November,2020-05-31,Mental and behavioural disorders,24.81,,31.42,28.66,-2.76,-8.8
41,10-16 November,2020-06-07,Abnormalities of breathing,8.47,,7.98,8.0,0.02,0.3
41,10-16 November,2020-06-07,Acute myocardial infarction,2.63,,3.03,3.15,0.12,4.0
41,10-16 November,2020-06-07,Asthma,6.57,,5.89,6.82,0.93,15.8
41,10-16 November,2020-06-07,COPD with acute exacerbation,1.25,,1.51,1.88,0.37,24.5
41,10-16 November,2020-06-07,Cardiovascular diseases,19.36,,16.8,15.24,-1.56,-9.3
41,10-16 November,2020-06-07,Cerebrovascular diseases,,1.6,3.45,3.56,0.11,3.2
41,10-16 November,2020-06-07,Chest pain,28.5,,29.74,27.84,-1.9,-6.4
41,10-16 November,2020-06-07,Dehydration,1.69,,1.36,1.3,-0.06,-4.4
41,10-16 November,2020-06-07,Diseases of the respiratory system,50.53,,47.21,51.11,3.9,8.3
41,10-16 November,2020-06-07,Mental and behavioural disorders,25.56,,29.19,26.32,-2.87,-9.8
42,17-23 November,2020-06-14,Abnormalities of breathing,7.11,,8.83,9.45,0.62,7.0
42,17-23 November,2020-06-14,Acute myocardial infarction,2.86,,3.41,3.06,-0.35,-10.3
42,17-23 November,2020-06-14,Asthma,6.15,,5.75,6.96,1.21,21.0
42,17-23 November,2020-06-14,COPD with acute exacerbation,0.86,,1.6,2.27,0.67,41.9
42,17-23 November,2020-06-14,Cardiovascular diseases,18.64,,16.73,15.16,-1.57,-9.4
42,17-23 November,2020-06-14,Cerebrovascular diseases,,1.48,3.54,3.25,-0.29,-8.2
42,17-23 November,2020-06-14,Chest pain,29.13,,29.57,29.52,-0.05,-0.2
42,17-23 November,2020-06-14,Dehydration,0.92,,1.54,1.99,0.45,29.2
42,17-23 November,2020-06-14,Diseases of the respiratory system,46.56,,47.32,50.33,3.01,6.4
42,17-23 November,2020-06-14,Mental and behavioural disorders,27.06,,27.71,26.41,-1.3,-4.7
43,24-30 November,2020-06-21,Abnormalities of breathing,7.53,,8.28,8.86,0.58,7.0
43,24-30 November,2020-06-21,Acute myocardial infarction,3.29,,3.36,3.15,-0.21,-6.2
43,24-30 November,2020-06-21,Asthma,5.7,,5.31,6.08,0.77,14.5
43,24-30 November,2020-06-21,COPD with acute exacerbation,1.0,,1.68,1.97,0.29,17.3
43,24-30 November,2020-06-21,Cardiovascular diseases,19.65,,17.14,15.26,-1.88,-11.0
43,24-30 November,2020-06-21,Cerebrovascular diseases,,1.47,3.17,3.32,0.15,4.7
43,24-30 November,2020-06-21,Chest pain,25.38,,28.74,29.15,0.41,1.4
43,24-30 November,2020-06-21,Dehydration,2.0,,0.86,1.38,0.52,60.5
43,24-30 November,2020-06-21,Diseases of the respiratory system,45.48,,46.28,48.62,2.34,5.1
43,24-30 November,2020-06-21,Mental and behavioural disorders,28.15,,28.23,28.91,0.68,2.4
44,1-7 December,2020-06-28,Abnormalities of breathing,6.86,,8.22,8.49,0.27,3.3
44,1-7 December,2020-06-28,Acute myocardial infarction,2.5,,3.87,3.22,-0.65,-16.8
44,1-7 December,2020-06-28,Asthma,5.64,,5.66,6.85,1.19,21.0
44,1-7 December,2020-06-28,COPD with acute exacerbation,0.73,,1.94,2.51,0.57,29.4
44,1-7 December,2020-06-28,Cardiovascular diseases,18.43,,17.81,15.48,-2.33,-13.1
44,1-7 December,2020-06-28,Cerebrovascular diseases,,1.98,4.17,3.56,-0.61,-14.6
44,1-7 December,2020-06-28,Chest pain,25.65,,31.1,29.59,-1.51,-4.9
44,1-7 December,2020-06-28,Dehydration,1.38,,1.8,1.69,-0.11,-6.1
44,1-7 December,2020-06-28,Diseases of the respiratory system,42.8,,47.04,51.95,4.91,10.4
44,1-7 December,2020-06-28,Mental and behavioural disorders,26.6,,30.22,27.41,-2.81,-9.3
45,8-14 December,2020-07-05,Abnormalities of breathing,9.18,,7.73,9.78,2.05,26.5
45,8-14 December,2020-07-05,Acute myocardial infarction,3.06,,3.69,3.64,-0.05,-1.4
45,8-14 December,2020-07-05,Asthma,5.09,,5.86,6.86,1.0,17.1
45,8-14 December,2020-07-05,COPD with acute exacerbation,0.86,,1.74,1.84,0.1,5.7
45,8-14 December,2020-07-05,Cardiovascular diseases,18.28,,16.61,15.78,-0.83,-5.0
45,8-14 December,2020-07-05,Cerebrovascular diseases,,2.07,3.17,3.55,0.38,12.0
45,8-14 December,2020-07-05,Chest pain,24.87,,30.12,31.56,1.44,4.8
45,8-14 December,2020-07-05,Dehydration,2.03,,1.23,2.22,0.99,80.5
45,8-14 December,2020-07-05,Diseases of the respiratory system,43.76,,45.71,50.99,5.28,11.6
45,8-14 December,2020-07-05,Mental and behavioural disorders,28.52,,28.59,27.39,-1.2,-4.2
46,15-21 December,2020-07-12,Abnormalities of breathing,7.46,,7.78,8.62,0.84,10.8
46,15-21 December,2020-07-12,Acute myocardial infarction,2.8,,3.19,2.92,-0.27,-8.5
46,15-21 December,2020-07-12,Asthma,5.7,,4.49,6.77,2.28,50.8
46,15-21 December,2020-07-12,COPD with acute exacerbation,1.05,,1.63,1.71,0.08,4.9
46,15-21 December,2020-07-12,Cardiovascular diseases,17.78,,16.15,15.66,-0.49,-3.0
46,15-21 December,2020-07-12,Cerebrovascular diseases,,1.83,3.17,3.24,0.07,2.2
46,15-21 December,2020-07-12,Chest pain,27.08,,30.25,28.41,-1.84,-6.1
46,15-21 December,2020-07-12,Dehydration,2.77,,1.73,2.81,1.08,62.4
46,15-21 December,2020-07-12,Diseases of the respiratory system,44.96,,42.96,51.92,8.96,20.9
46,15-21 December,2020-07-12,Mental and behavioural disorders,26.05,,31.22,27.87,-3.35,-10.7
47,22-28 December,2020-07-19,Abnormalities of breathing,8.64,,9.43,8.64,-0.79,-8.4
47,22-28 December,2020-07-19,Acute myocardial infarction,2.56,,3.21,3.13,-0.08,-2.5
47,22-28 December,2020-07-19,Asthma,5.5,,5.77,5.64,-0.13,-2.3
47,22-28 December,2020-07-19,COPD with acute exacerbation,1.09,,1.8,2.27,0.47,26.1
47,22-28 December,2020-07-19,Cardiovascular diseases,17.61,,15.43,14.65,-0.78,-5.1
47,22-28 December,2020-07-19,Cerebrovascular diseases,,1.57,3.3,3.46,0.16,4.8
47,22-28 December,2020-07-19,Chest pain,25.45,,26.14,26.98,0.84,3.2
47,22-28 December,2020-07-19,Dehydration,1.93,,1.99,1.96,-0.03,-1.5
47,22-28 December,2020-07-19,Diseases of the respiratory system,55.33,,57.34,61.89,4.55,7.9
47,22-28 December,2020-07-19,Mental and behavioural disorders,27.42,,27.77,28.71,0.94,3.4
48,29 December-4 January,2020-07-26,Abnormalities of breathing,7.68,,8.14,8.19,0.05,0.6
48,29 December-4 January,2020-07-26,Acute myocardial infarction,3.19,,3.48,3.83,0.35,10.1
48,29 December-4 January,2020-07-26,Asthma,4.69,,3.52,5.44,1.92,54.5
48,29 December-4 January,2020-07-26,COPD with acute exacerbation,0.96,,1.86,2.48,0.62,33.3
48,29 December-4 January,2020-07-26,Cardiovascular diseases,19.42,,16.98,16.71,-0.27,-1.6
48,29 December-4 January,2020-07-26,Cerebrovascular diseases,,1.75,3.2,3.38,0.18,5.6
48,29 December-4 January,2020-07-26,Chest pain,28.46,,30.71,28.97,-1.74,-5.7
48,29 December-4 January,2020-07-26,Dehydration,1.87,,3.09,2.62,-0.47,-15.2
48,29 December-4 January,2020-07-26,Diseases of the respiratory system,48.65,,51.7,55.85,4.15,8.0
48,29 December-4 January,2020-07-26,Mental and behavioural disorders,30.07,,33.06,30.77,-2.29,-6.9
49,5-11 January,2020-08-02,Abnormalities of breathing,6.59,,7.37,8.7,1.33,18.0
49,5-11 January,2020-08-02,Acute myocardial infarction,2.83,,2.94,3.1,0.16,5.4
49,5-11 January,2020-08-02,Asthma,4.03,,3.96,4.35,0.39,9.8
49,5-11 January,2020-08-02,COPD with acute exacerbation,0.83,,1.49,2.17,0.68,45.6
