latitude,longitude,fire_count,total_frp,avg_confidence
-13.5,130.5,249,19054.0,80.6
-12.5,132,247,16358.0,80.1
-28.5,130,246,44638.5,91.5
-15,131.5,241,18883.4,84.7
-18,144,241,7883.3,78.7
-28.5,128,240,67686.2,86.5
-29,128,239,22728.6,86.0
-12.5,134,234,13027.4,76.8
-15,126.5,234,18797.7,80.6
-31.5,123.5,232,35801.4,85.3
-13,143.5,229,11298.2,74.2
-16,126.5,229,23564.0,81.8
-15,144,229,11303.5,80.7
-17.5,124,227,29003.8,83.1
-17,124,223,23591.1,81.9
-13,132.5,222,16130.6,81.5
-15.5,126,222,13490.4,82.3
-32.5,122.5,222,123483.9,91.3
-28.5,129,221,37495.3,84.6
-11.5,133,220,12055.4,79.1
-35.5,137,220,29038.3,87.9
-12.5,142.5,218,11262.8,76.8
-26.5,150.5,218,13487.8,81.3
-16.5,145,218,13502.1,78.7
-18,143.5,218,8574.6,80.2
-12.5,132.5,217,15714.4,79.3
-12,136.5,217,8160.9,76.1
-12.5,134.5,215,14633.2,80.7
-16.5,136,214,12217.8,80.7
-15.5,130,212,13871.4,81.9
-25.5,149,210,10519.5,82.4
-12,134,209,12082.8,78.3
-27.5,151,200,29051.1,85.9
-26,146.5,200,16394.3,83.1
-15,126,199,16629.1,81.6
-28.5,123,199,29763.6,82.5
-32,119.5,199,46342.6,89.0
-16,137,197,16608.7,79.8
-11.5,132.5,195,13158.8,78.5
-16,136.5,190,9763.8,76.1
-13.5,132,188,17027.8,82.2
-27.5,152,186,29980.4,84.1
-18,145,185,16738.5,82.5
-13,136.5,185,11206.9,76.5
-22,116.5,185,26202.1,85.6
-17.5,143.5,184,10062.0,79.1
-11.5,131,183,8420.0,75.2
-13.5,143,183,9020.5,79.5
-16.5,141.5,182,11035.5,82.3
-15,128.5,181,10316.1,78.9
-12,134.5,180,8215.1,75.6
-14,135,179,8523.0,80.8
-31,153,178,7294.4,83.9
-28.5,152,177,10100.4,81.2
-23.5,132,177,16354.8,82.8
-20,144.5,177,8473.9,77.7
-36.5,146.5,177,13605.4,82.8
-16.5,142.5,173,8186.9,78.6
-13,131,172,13949.3,82.6
-15.5,142.5,169,8490.6,78.7
-16,134.5,168,11194.3,78.2
-32.5,121,168,38372.7,86.7
-14,135.5,163,11282.5,80.0
-16,129,161,12482.8,80.5
-16.5,128,161,8184.1,83.6
-24,149,161,18579.8,88.3
-16,124.5,161,6851.6,78.8
-19,144,161,7843.4,79.0
-18.5,143.5,161,9197.4,86.3
-13.5,130,160,10930.9,78.3
-33.5,123.5,158,68580.4,95.0
-16.5,142,155,10966.4,83.3
-16.5,123.5,155,7758.4,81.0
-24.5,151.5,155,5909.3,75.2
-12,131,154,6598.2,77.0
-12,143,153,6964.9,74.8
-25,152,153,30348.5,85.7
-17,145,152,5721.2,78.2
-15.5,142,151,8845.0,79.8
-16.5,125,151,12974.7,80.5
-20,144,151,10053.6,82.1
-33,122,151,68071.3,86.6
-28.5,124.5,150,16324.1,86.2
-17.5,130,150,21549.5,89.0
-31,120,150,25509.8,86.7
-13,135,149,12775.3,80.5
-31.5,115.5,148,31004.7,88.3
-27.5,127.5,148,15268.1,82.5
-14,127,148,10350.6,78.1
-22.5,150,147,10960.4,80.3
-15,145,147,6006.1,73.8
-29,152,147,16618.7,81.2
-29.5,153.5,147,28968.4,87.9
-15.5,131.5,146,19399.8,84.1
-18.5,145.5,146,16944.6,78.3
-15.5,128.5,145,8384.1,78.6
-20,143.5,145,10981.4,83.1
-11.5,130.5,144,7906.1,79.6
-33,116.5,144,16762.6,82.0
-15.5,124.5,144,9791.6,79.9
-16.5,136.5,143,10414.4,78.0
-28,129,143,29406.8,88.0
-24.5,129,142,29102.4,91.5
-28,127.5,142,25611.3,87.4
-13,135.5,142,10484.9,80.4
-18,144.5,141,5871.4,78.0
-18.5,144.5,140,14246.6,83.5
-17,125,137,5876.0,81.2
-19,124.5,137,22301.0,88.9
-38,142,137,10230.9,86.3
-16,136,136,9844.4,80.7
-29,153.5,136,18413.0,87.4
-15.5,129.5,136,8275.6,79.5
-25,150,136,9940.5,85.5
-19,146,136,6385.5,75.1
-28,132,136,22265.2,89.5
-12,132.5,135,11841.4,81.7
-32,123,135,18862.0,81.7
-27.5,128.5,135,24864.9,88.3
-21.5,145.5,134,13539.1,86.5
-27,130.5,133,15505.6,86.3
-19.5,121.5,133,19364.8,93.0
-31.5,153,132,6927.9,80.0
-15,125.5,132,7903.5,81.1
-32.5,119.5,132,28263.3,87.4
-22.5,116.5,131,9465.9,85.8
-15,142.5,131,6730.8,78.7
-16,131,130,8935.9,84.3
-30.5,151.5,130,9248.9,83.5
