latitude,longitude,fire_count,total_frp,avg_confidence
-22,120,19,785.7,80.1
-18.5,143,19,693.7,77.8
-29.5,124,19,1524.7,81.7
-26.5,151.5,19,562.6,75.6
-24.5,151,19,846.0,76.6
-24.5,147.5,19,503.9,77.9
-21.5,147.5,19,422.0,82.4
-14.5,135,18,640.8,72.9
-26.5,148.5,18,633.0,84.1
-23.5,146.5,18,938.9,76.6
-26,149.5,18,1230.8,78.7
-30.5,116,18,1321.4,85.2
-21,115.5,18,416.4,84.1
-23,148.5,18,433.6,76.3
-20,123,18,640.9,88.4
-16.5,127.5,18,739.3,71.1
-23.5,151,18,1105.8,71.6
-32,122.5,18,2194.8,84.6
-24,122.5,18,1082.1,85.9
-26,119,18,1692.8,87.4
-20,148.5,18,1725.5,78.7
-21.5,117,18,2762.7,89.2
-25,129,18,1430.3,81.7
-22.5,119.5,18,1122.4,78.8
-15.5,132,18,957.8,81.3
-18,141.5,18,577.8,77.9
-28,121,18,907.7,85.8
-24.5,128,18,930.7,85.1
-36.5,148.5,18,1342.3,87.4
-21.5,147,18,484.0,78.2
-24.5,149.5,18,295.6,71.2
-22,149.5,17,547.3,76.8
-12,130.5,17,739.4,77.5
-25.5,126.5,17,741.2,83.7
-17.5,129.5,17,1503.8,81.5
-21,119.5,17,593.7,81.6
-21.5,124,17,771.0,86.4
-21,116.5,17,1106.2,89.6
-27,128,17,1817.0,90.5
-17,141,17,432.7,71.4
-26.5,125.5,17,994.8,82.1
-21,148,17,500.4,72.6
-21.5,127.5,17,4157.1,90.2
-36.5,141.5,17,1634.1,83.1
-26.5,124,17,1382.2,93.8
-38,149.5,17,10407.7,95.3
-26,149,16,405.1,67.4
-29.5,130.5,16,648.1,80.1
-29.5,115,16,2076.5,81.4
-21,147.5,16,466.0,72.4
-16.5,134,16,588.4,75.4
-33.5,115.5,16,807.5,72.1
-41.5,147,16,368.2,66.3
-23,145.5,16,503.5,79.3
-36,141.5,16,2241.2,85.9
-23,131.5,16,1269.2,77.1
-35,117,16,3278.2,78.9
-23.5,126.5,16,986.1,82.1
-23,149.5,16,596.5,76.6
-31,149,16,1215.2,74.7
-15.5,133,15,1273.8,78.0
-32.5,116.5,15,780.6,77.5
-27,153,15,492.0,66.3
-26,150,15,745.5,77.7
-26,127.5,15,910.8,85.6
-23,124.5,15,3203.3,93.6
-20.5,124,15,662.8,86.4
-22.5,147.5,15,433.7,72.3
-19,124,15,2846.2,83.4
-29.5,150.5,15,517.1,75.2
-23,123,15,704.2,79.5
-22.5,115.5,15,2124.3,78.1
-19.5,132,15,2221.0,86.5
-33.5,117.5,15,6564.5,85.2
-14.5,133.5,14,1092.3,75.6
-28,148,14,454.8,77.9
-25.5,149.5,14,1385.0,79.3
-16.5,139,14,443.8,72.6
-15.5,141.5,14,298.6,70.4
-37.5,143.5,14,411.2,86.6
-17.5,127.5,14,599.9,70.4
-28,125,14,527.0,72.1
-23.5,118.5,14,1185.0,80.2
-20.5,122,14,564.2,86.5
-25.5,150,14,555.4,76.4
-24.5,118.5,14,1785.1,90.6
-23.5,148,14,361.6,73.2
-38,148,14,255.0,94.1
-21.5,116,14,1213.2,81.9
-19,125.5,14,523.1,77.3
-35.5,136.5,14,4389.7,88.0
-33,115.5,14,521.7,84.3
-11,132.5,13,417.4,71.5
-19.5,146,13,214.4,73.6
-26,125.5,13,902.0,81.4
-41,147.5,13,479.7,64.2
-26.5,149.5,13,397.3,74.7
-14,142,13,509.1,79.9
-20.5,147.5,13,433.8,69.8
-27,149.5,13,346.2,75.0
-26,120.5,13,1635.1,82.4
-21,123,13,705.7,75.8
-28,151.5,13,436.2,77.4
-20.5,145,13,194.6,66.2
-13,133.5,13,634.9,78.5
-27,151.5,13,436.2,78.4
-15,129,13,432.9,77.3
-38.5,147,12,602.1,70.2
-37.5,142,12,305.4,73.8
-32,145.5,12,263.2,65.9
-27,150.5,12,233.1,75.9
-34,115.5,12,1380.9,74.1
-31,147,12,335.2,84.6
-25,129.5,12,868.8,81.3
-29,127.5,12,531.3,74.8
-28.5,149.5,12,263.9,74.4
-18,122,12,3718.8,88.3
-24,145,12,159.3,71.9
-23,114,12,1081.9,86.0
-29.5,125.5,12,1385.1,91.7
-24,127.5,12,685.0,86.3
-16.5,145.5,12,1049.7,83.9
-34.5,116,12,1142.8,78.5
-18,124.5,12,517.5,71.9
-19,122,12,555.9,75.8
-26.5,121,12,1132.2,73.7
-18,142,12,782.6,76.2
-29.5,128,12,983.8,87.8
-23,117.5,12,244.4,86.3
-37,141.5,12,1079.0,85.9
-18.5,141.5,12,378.1,83.5
-30.5,132.5,12,611.1,84.0
-38,141,12,1116.4,87.7
-27,149,12,510.7,71.6
-22.5,149,11,514.5,74.3
-28,150,11,281.8,74.6
-20,148,11,194.9,71.5
-30.5,115,11,1566.3,79.2
-31,115.5,11,2298.0,77.6
-25,128.5,11,542.4,80.7
-27.5,151.5,11,310.5,74.2
-22.5,145.5,11,856.8,74.3
-26.5,150,11,266.6,83.3
-28,149,11,519.1,77.6
-20.5,118.5,11,220.4,85.0
-27.5,150.5,11,224.9,69.0
-16,134,11,795.3,86.5
-30.5,115.5,11,1379.6,83.6
-32.5,151.5,11,653.8,86.5
-16.5,130.5,11,380.2,67.6
-22,121,11,1113.1,87.1
-20.5,145.5,11,294.2,75.0
-16.5,143.5,11,421.0,73.4
-17.5,138,11,842.8,71.0
-29.5,129.5,11,1090.6,96.4
-21,118,11,656.4,78.1
-23.5,127,11,562.2,91.5
-19.5,143,11,169.4,77.5
-22.5,146.5,11,237.7,78.7
-23,126,11,657.0,71.3
-42.5,147.5,10,208.4,70.6
-29,148.5,10,186.7,68.6
-30.5,147,10,270.4,68.3
-31,147.5,10,177.4,69.8
-15,133.5,10,541.3,77.4
-32,116.5,10,513.5,71.7
-41.5,147.5,10,809.9,79.3
-29,147.5,10,187.6,66.7
-14.5,134.5,10,691.7,74.5
-31.5,146,10,237.1,66.9
-36.5,141,10,403.6,80.5
-28,122.5,10,186.0,76.0
-22,126,10,713.0,89.7
-37,144,10,514.7,80.7
-29.5,126,10,2526.7,88.6
-26,124.5,10,508.1,78.9
-17,141.5,10,485.9,79.8
-16,128,10,366.6,73.5
-18.5,138.5,10,746.5,82.7
-22.5,118,10,1818.7,84.4
-16,132.5,10,604.4,81.9
-22,129.5,10,1064.7,90.2
-31.5,134.5,10,656.1,76.3
-23.5,149.5,10,212.8,70.0
-31,151.5,10,182.9,75.0
-24,126,10,625.9,65.8
-23,147,10,300.5,81.5
-10.5,142,9,189.7,63.1
-25,151,9,160.7,73.9
-16.5,123,9,502.8,72.9
-13,130,9,550.7,84.8
-32,118.5,9,135.1,70.0
-37.5,141.5,9,786.8,82.0
-34.5,146,9,190.8,69.1
-25,127,9,535.1,88.0
-37,141,9,200.7,72.1
-29,123,9,314.0,72.0
-25,150.5,9,531.3,87.0
-26.5,124.5,9,201.2,79.0
-21.5,117.5,9,1758.9,78.0
-21,121,9,300.7,67.2
-22,120.5,9,539.3,82.8
-22.5,126.5,9,535.0,83.3
-29.5,149,9,171.5,72.9
-36.5,144.5,9,904.4,87.1
-30,121,9,3751.3,79.0
-29.5,119.5,9,323.1,81.1
-18,139.5,9,212.7,80.4
-19,140.5,9,332.2,78.6
-23,118,9,574.8,91.4
-23.5,116.5,9,758.0,82.3
-15.5,132.5,9,240.1,75.1
-23.5,124.5,9,1059.7,80.8
-33.5,122.5,9,1673.1,87.7
-22,150,9,487.7,74.8
-22,115.5,9,535.4,83.6
-23,125.5,9,468.7,73.9
-24.5,130,9,1057.4,82.4
-20.5,135,9,557.8,76.7
-25,131,8,280.7,82.0
-23.5,129.5,8,289.7,71.5
-19.5,134,8,126.3,75.0
-37.5,142.5,8,151.9,65.6
-34.5,140.5,8,123.5,74.3
-42,147.5,8,69.5,64.8
-33.5,121.5,8,333.6,81.0
-12,137,8,157.4,64.4
-31.5,147.5,8,186.7,76.1
-29,149,8,306.6,61.0
-37.5,144.5,8,103.7,71.3
-26,147.5,8,153.4,70.8
-22.5,145,8,398.7,77.9
-26,146,8,171.9,79.5
-31.5,145.5,8,138.0,78.3
-23.5,129,8,357.9,75.1
-24,125.5,8,670.4,87.8
-17,123.5,8,1660.2,83.5
-26,123,8,354.9,79.0
-42,147,8,866.5,87.4
-20,128,8,137.6,79.8
-21.5,126.5,8,978.2,74.8
-22.5,148.5,8,309.2,67.4
-28,124.5,8,637.4,83.5
-20.5,140.5,8,373.3,74.8
-30,120.5,8,7642.7,95.3
-20.5,137,8,1040.2,78.9
-30,119,8,470.4,91.5
-26.5,127.5,8,8844.5,90.5
-26,124,8,2293.0,93.5
-19.5,145,8,323.0,64.0
-33,135.5,8,728.1,89.1
-37.5,146.5,8,1630.4,94.1
-18,126,8,218.2,80.1
-34,143,7,124.6,64.4
-19,146.5,7,368.8,72.9
-35.5,144,7,168.4,67.0
-17.5,139,7,86.5,63.7
-17.5,145.5,7,155.6,63.0
-28,148.5,7,197.0,71.0
-25.5,127.5,7,158.4,72.9
-31,148.5,7,79.8,68.9
-35,143.5,7,193.7,79.6
-33.5,120.5,7,370.5,68.9
-31.5,116.5,7,168.3,76.9
-34.5,117.5,7,868.8,80.6
-29,149.5,7,93.5,71.1
-42.5,146.5,7,88.0,66.7
-36.5,145.5,7,76.6,68.1
-21,117,7,184.9,73.4
-33.5,122,7,589.8,79.0
-33,141,7,362.2,82.3
-12,130,7,199.0,78.6
-25.5,123,7,446.1,86.7
-24.5,150,7,125.0,78.3
-22,148,7,131.3,66.1
-12,132,7,504.2,71.3
-22,123.5,7,232.5,84.0
-16,145.5,7,185.5,60.7
-25.5,131.5,7,229.6,69.4
-23.5,150,7,242.4,84.1
-33.5,121,7,1405.1,91.4
-35.5,145.5,7,175.5,70.1
-22.5,140.5,7,300.0,76.1
-22,124,7,223.5,86.6
-14.5,125.5,7,479.4,79.9
-29,124,7,371.2,83.0
-22.5,118.5,7,311.0,85.6
-19,123.5,7,264.0,81.4
-17,129,7,240.0,91.3
-25,148.5,7,489.4,86.0
-27,119.5,7,437.6,72.9
-23.5,149,7,266.5,76.4
-19,139,7,188.3,83.7
-20.5,136.5,7,1789.4,82.1
-21.5,122.5,7,445.8,91.6
-19,134.5,7,655.4,87.7
-37.5,141,7,375.0,80.4
-22.5,121,7,498.5,87.1
-19.5,139,7,136.0,77.0
-17.5,126,7,949.5,85.1
-21.5,131,7,622.9,84.9
-14.5,134,7,115.4,72.0
-27.5,132,7,387.7,87.6
-32.5,124,7,596.0,85.1
-17.5,137.5,7,523.1,77.1
-24,133,7,132.3,83.7
-20.5,146.5,7,161.2,72.4
-16,137.5,7,501.9,77.3
-35,141.5,6,94.3,75.2
-28.5,151.5,6,97.4,71.7
-32,147.5,6,69.6,65.5
-23.5,114,6,302.3,86.2
-32.5,147.5,6,130.8,69.8
-27,132.5,6,168.5,77.8
-10.5,142.5,6,133.6,68.3
-37,144.5,6,149.9,67.5
-21,144.5,6,138.4,72.0
-20,123.5,6,359.7,74.0
-23.5,119.5,6,73.0,79.5
-21.5,149,6,167.1,59.0
-20,146.5,6,223.0,80.8
-28,149.5,6,135.7,70.5
-17.5,130.5,6,216.2,75.2
-15,131,6,243.8,69.3
-33.5,135.5,6,261.0,87.0
-23.5,116,6,141.9,74.5
-24,130,6,450.6,79.8
-24.5,125.5,6,180.3,78.7
-27.5,120,6,373.4,75.8
-26,128,6,411.4,80.8
-17,126.5,6,170.9,69.0
-33,136.5,6,281.8,81.5
-27,125.5,6,143.8,89.8
-21,140,6,176.1,78.0
-20,127.5,6,449.6,90.3
-27.5,126.5,6,258.7,82.7
-30,132.5,6,446.6,90.2
-25,130,6,1025.6,94.2
-37,145.5,6,617.8,88.0
-24,146,6,123.7,68.0
-33.5,120,6,305.5,64.8
-21,141,6,312.6,74.5
-11.5,130,5,224.0,65.2
-11,132,5,197.6,64.0
-23,148,5,231.5,68.0
-34.5,141.5,5,1824.3,80.6
-35.5,146,5,45.9,65.8
-21.5,135.5,5,280.7,70.0
-23.5,148.5,5,95.6,75.6
-33,148.5,5,82.5,66.0
-33.5,147,5,73.2,61.6
-34,147,5,75.0,70.0
-28.5,147.5,5,52.9,64.2
-22,148.5,5,172.1,69.0
-34.5,119,5,120.3,75.2
-26,129,5,103.3,74.0
-14,134.5,5,79.0,70.2
-34.5,149.5,5,125.9,67.6
-15.5,137,5,199.4,75.6
-31.5,148,5,97.6,72.2
-42.5,148,5,410.6,75.0
-31.5,149.5,5,52.3,71.6
-33,147.5,5,82.9,75.0
-32,148,5,60.2,67.4
-41.5,146.5,5,58.6,66.2
-33,148,5,66.1,70.4
-29,150.5,5,198.1,78.8
-27,151,5,116.5,84.2
-28,131,5,137.7,61.8
-14,141.5,5,92.4,71.2
-18,139,5,91.8,71.6
-20.5,129,5,98.3,82.4
-23,120,5,477.0,83.8
-26.5,147.5,5,108.3,76.2
-13.5,135,5,176.7,70.8
-21.5,139.5,5,250.0,80.6
-28.5,149,5,87.4,72.2
-24.5,120,5,104.8,83.8
-25,123.5,5,380.4,81.2
-43,147,5,90.6,79.4
-41.5,145.5,5,142.1,64.6
-24,149.5,5,76.1,87.2
-29,131,5,151.4,66.4
-25.5,148,5,83.5,68.4
-23,131,5,841.9,85.2
-24,147.5,5,255.3,76.0
-15.5,133.5,5,457.4,83.2
-28.5,153,5,131.6,80.6
-17,130,5,180.6,68.8
-23,124,5,418.8,92.4
-22,125.5,5,933.3,74.6
-33.5,119.5,5,281.7,75.4
-17,128.5,5,437.5,73.0
-21,124.5,5,187.9,100.0
-17.5,126.5,5,155.9,82.8
-26.5,123,5,173.7,80.6
-23.5,126,5,222.5,75.0
-29,125,5,246.4,87.0
-34.5,138.5,5,385.7,84.8
-17,126,5,131.2,81.2
-25.5,129.5,5,227.9,96.8
-17.5,128,5,256.7,89.0
-32,119,5,272.9,76.2
-19.5,122.5,5,1142.9,89.2
-18.5,135,5,457.6,87.2
-25,123,5,667.9,92.8
-14,142.5,5,425.9,82.4
-29.5,151,5,522.3,88.4
-18.5,122,5,184.4,81.2
-22.5,148,5,409.5,83.2
-20.5,120,5,526.5,76.2
-20.5,126,5,533.3,80.6
-20.5,140,5,194.4,62.6
-20,139,5,71.9,69.8
-32.5,134,5,271.4,70.4
-30,147.5,4,100.4,72.0
-35.5,142.5,4,106.4,78.3
-17.5,146,4,294.3,78.5
-32,146.5,4,154.1,80.3
-27.5,147.5,4,67.6,71.3
-29.5,116.5,4,28.9,58.0
-25.5,122,4,77.1,73.8
-34.5,143,4,60.9,58.5
-41.5,146,4,109.6,73.8
-29.5,126.5,4,117.8,75.8
-41,146,4,125.7,64.8
-17.5,129,4,92.5,76.3
-19,126.5,4,225.4,80.8
-23,127.5,4,99.7,78.3
-33.5,143,4,728.6,83.0
-23,122,4,171.9,79.8
-33,146,4,90.2,72.5
-35,136,4,400.1,66.8
-36,141,4,314.2,94.5
-28,147,4,75.8,58.3
-21,128.5,4,201.1,87.5
-30,149.5,4,50.1,70.0
-22,147.5,4,77.9,72.8
-23.5,123,4,62.9,79.8
-18.5,130,4,370.0,91.0
-17.5,123.5,4,254.2,80.8
-23,146.5,4,388.7,75.8
-24,148,4,158.0,82.5
-21.5,146,4,106.9,65.0
-25.5,125.5,4,194.9,79.3
-17,136.5,4,73.6,77.0
-18,138.5,4,274.0,85.8
-19.5,140.5,4,74.9,89.5
-25,144,4,65.9,77.3
-23.5,125.5,4,163.8,62.5
-22,118.5,4,110.1,67.0
-21.5,149.5,4,345.6,95.3
-27,146,4,97.7,68.8
-29.5,127.5,4,318.3,94.5
-18.5,140.5,4,334.1,96.0
-17.5,136.5,4,296.3,94.0
-17.5,137,4,112.3,64.0
-27.5,121,4,210.1,86.3
-30,123,4,306.5,97.0
-27,127.5,4,510.9,92.8
-23,129,4,358.1,87.3
-19,138.5,4,61.2,84.0
-19.5,125.5,4,222.9,79.8
-32.5,152.5,4,147.4,74.5
-23,129.5,4,258.8,85.5
-19,129.5,4,120.1,88.3
-22,115,4,261.1,85.0
-31,118,4,457.3,90.8
-26,131.5,4,490.6,91.0
-25,130.5,4,229.7,79.3
-23.5,143.5,4,88.6,97.8
-33.5,135,4,220.6,74.0
-37.5,147,4,50.8,59.8
-23,120.5,4,132.2,84.5
-25,151.5,4,98.0,72.3
-23,147.5,4,40.6,70.0
-32.5,148,3,45.5,85.3
-10,142.5,3,102.8,61.7
-32,127.5,3,59.2,62.0
-35,145.5,3,35.4,65.3
-14.5,142.5,3,19.9,59.7
-31.5,148.5,3,47.8,64.3
-32.5,117.5,3,122.0,72.7
-17.5,141,3,52.0,72.0
-30,116,3,44.6,59.7
-29.5,150,3,26.3,58.7
-18.5,125,3,165.2,82.3
-32.5,146.5,3,70.6,68.3
-32,148.5,3,99.9,69.7
-15.5,145.5,3,94.4,73.3
-36,145.5,3,51.6,67.3
-35,118,3,69.0,63.7
-17,146,3,106.9,83.3
-37,143.5,3,394.7,84.0
-37.5,140.5,3,40.5,65.3
-30,117.5,3,33.8,71.0
-21.5,126,3,127.1,69.3
-33,143.5,3,89.8,78.0
-32.5,149.5,3,181.1,80.3
-33.5,116.5,3,136.3,79.0
-27.5,125,3,135.1,73.7
-30.5,137,3,29.1,67.7
-26.5,145.5,3,47.8,64.0
-37.5,145,3,45.0,55.0
-38.5,145.5,3,243.4,86.7
-18,127.5,3,46.0,79.3
-37.5,143,3,320.1,88.7
-20.5,135.5,3,76.5,71.7
-37.5,144,3,46.0,69.3
-24.5,121,3,311.1,73.3
-25,122,3,172.6,68.0
-24.5,123,3,65.1,67.7
-22,136,3,84.3,67.0
-36,146.5,3,50.2,72.0
-24.5,148.5,3,73.4,80.7
-24,123,3,77.6,74.3
-29.5,131.5,3,100.6,71.3
-27.5,130.5,3,55.0,63.0
-21,149,3,197.8,69.0
-30,149,3,55.8,68.3
-23.5,133.5,3,239.2,95.7
-23,134,3,53.8,64.3
-38,143,3,32.6,70.3
-22,124.5,3,183.6,72.0
-23.5,125,3,115.4,70.3
-38.5,146,3,70.2,70.0
-21,116,3,282.4,80.3
-22.5,120,3,246.8,66.3
-37,142,3,71.0,64.7
-35.5,144.5,3,52.0,70.3
-19.5,142.5,3,86.7,68.3
-22.5,132.5,3,67.9,94.0
-29.5,123,3,109.4,57.7
-25,145.5,3,30.5,86.3
-18,140,3,58.0,81.3
-24,145.5,3,51.7,72.3
-22.5,116,3,134.2,88.3
-23,123.5,3,121.4,90.0
-25.5,122.5,3,194.1,79.7
-21.5,121.5,3,73.2,61.3
-19,136.5,3,37.4,64.0
-16,132,3,22.1,70.3
-19.5,128.5,3,188.8,86.7
-31,121.5,3,273.4,93.3
-34.5,135.5,3,165.0,72.3
-27,131.5,3,68.6,79.3
-22.5,123.5,3,216.6,87.3
-17,136,3,192.4,82.3
-30.5,149.5,3,324.3,87.0
-19,127,3,138.3,92.7
-26.5,149,3,92.6,78.7
-31,146,3,89.6,77.7
-23,125,3,45.9,78.7
-23,149,3,37.3,58.7
-20,119.5,3,143.4,92.3
-31,148,3,52.6,71.7
-34,117,2,23.1,63.0
-29.5,148,2,97.6,70.0
-28.5,151,2,27.6,67.5
-34.5,142.5,2,75.6,80.5
-33,149,2,143.5,89.0
-32.5,117,2,27.6,64.5
-23.5,138,2,42.2,74.5
-30,146.5,2,28.2,69.0
-32,122,2,44.2,72.5
-30,115,2,69.6,78.0
-37,140,2,96.2,60.5
-23,130,2,59.5,85.5
-34,148.5,2,23.7,64.0
-24,144.5,2,18.3,64.5
-34.5,142,2,43.8,71.5
-41.5,148.5,2,42.4,67.0
-41,146.5,2,16.1,58.0
-27.5,153.5,2,78.0,71.0
-29,127,2,36.4,77.5
-32.5,148.5,2,48.5,81.0
-41,148,2,21.2,59.0
-34.5,144,2,47.6,82.5
-34,149,2,29.1,74.5
-31.5,149,2,49.0,74.5
-35,147,2,17.6,60.5
-38,147,2,38.0,68.5
-35.5,143.5,2,25.2,59.0
-22.5,130,2,199.4,79.0
-26,126.5,2,67.4,79.0
-33,121.5,2,86.8,76.5
-18.5,139.5,2,30.3,76.0
-21,148.5,2,21.1,62.5
-11.5,133.5,2,29.2,78.0
-13.5,143.5,2,225.5,86.5
-24.5,124,2,279.4,99.0
-36,146,2,204.5,72.5
-21,144,2,24.8,63.0
-14.5,130.5,2,100.1,63.0
-38,144.5,2,19.4,54.0
-25.5,145.5,2,41.4,67.5
-30.5,124.5,2,144.9,89.0
-34.5,139.5,2,102.4,88.0
-23,138,2,66.8,72.0
-19.5,147.5,2,25.8,57.0
-24,150.5,2,16.9,66.5
-28,145.5,2,36.7,57.5
-24.5,150.5,2,24.9,66.0
-24.5,125,2,78.5,67.0
-33,138.5,2,16.6,67.0
-22.5,125,2,165.8,91.5
-23.5,114.5,2,134.2,100.0
-32,134,2,226.0,79.0
-36,144.5,2,80.8,70.5
-18,125,2,137.2,56.5
-18,133.5,2,103.8,64.5
-16.5,130,2,34.5,68.0
-22.5,120.5,2,22.0,64.5
-22,132,2,72.3,84.0
-34.5,136,2,213.5,62.0
-27.5,153,2,91.4,83.0
-29,145,2,75.6,61.0
-27.5,123,2,429.9,61.5
-31,116.5,2,326.0,88.5
-11.5,131.5,2,169.6,91.5
-36,147,2,58.5,85.5
-27.5,122.5,2,36.2,78.5
-23,130.5,2,245.0,81.0
-16.5,131,2,120.1,85.5
-24.5,146,2,14.5,71.5
-18.5,130.5,2,41.1,90.5
-24.5,119,2,33.6,69.5
-28,140,2,19.3,84.5
-32.5,136.5,2,18.8,68.0
-32.5,136,2,42.5,78.5
-36.5,146,2,56.6,75.0
-27.5,140,2,21.6,87.0
-36.5,145,2,25.7,68.5
-26.5,127,2,129.4,97.5
-23,143,2,61.0,83.0
-23.5,132.5,2,173.8,67.0
-22,146.5,2,14.1,69.5
-20,127,2,278.1,72.5
-24,128.5,2,147.8,78.5
-20,124.5,2,0.0,100.0
-17.5,128.5,2,75.3,77.0
-27,121,2,34.2,73.5
-18,133,2,39.0,81.5
-22.5,128.5,2,80.0,65.0
-23.5,123.5,2,105.7,93.0
-20.5,125.5,2,51.4,83.5
-19,127.5,2,72.2,67.5
-22.5,129,2,144.5,77.5
-26.5,131,2,104.7,80.5
-33,137,2,139.0,68.5
-25.5,134,2,72.9,81.5
-25,120,2,67.8,82.5
-35,142.5,2,33.3,57.5
-24,150,2,64.0,68.0
-38.5,143.5,2,346.8,88.5
-19.5,127,2,191.7,87.5
-23,121,2,117.9,97.0
-34.5,143.5,2,21.2,55.0
-20.5,146,2,17.8,77.0
-33.5,142.5,2,40.8,77.0
-22.5,125.5,2,101.6,69.0
-25,146,2,25.8,89.5
-22.5,136,2,39.0,77.0
-20,125,2,39.1,99.0
-31.5,122.5,2,79.8,74.0
-17,133.5,2,80.7,83.0
-41,145,2,49.1,83.5
-20,138.5,2,27.3,77.0
-18,126.5,2,42.7,66.5
-34,137.5,1,10.0,70.0
-10,142,1,12.8,53.0
-19,147,1,9.7,57.0
-43,147.5,1,26.4,73.0
-32.5,118.5,1,12.6,74.0
-28,114.5,1,24.2,73.0
-33,139,1,7.4,56.0
-32.5,139,1,7.5,56.0
-33.5,145.5,1,15.1,73.0
-33.5,146.5,1,7.3,50.0
-34,146.5,1,9.0,55.0
-34,136.5,1,10.6,68.0
-31.5,117,1,9.0,66.0
-34,140,1,4.3,53.0
-34,141,1,7.7,63.0
-33,117.5,1,6.8,64.0
-18,146,1,23.9,85.0
-37,146,1,6.6,56.0
-16.5,135.5,1,27.1,81.0
-30.5,146.5,1,23.7,75.0
-24.5,145,1,12.9,60.0
-34,135.5,1,6.4,60.0
-35.5,146.5,1,11.0,70.0
-42,146,1,11.9,73.0
-25.5,145,1,10.2,67.0
-33.5,147.5,1,6.2,62.0
-34.5,119.5,1,14.7,54.0
-32.5,145.5,1,12.2,67.0
-38.5,145,1,4.6,55.0
-38,142.5,1,4.9,56.0
-29,116,1,9.8,68.0
-36.5,140.5,1,18.7,81.0
-38,144,1,5.6,59.0
-17.5,138.5,1,22.0,62.0
-42,146.5,1,4.4,53.0
-29,130,1,15.0,74.0
-13.5,136.5,1,46.1,67.0
-19,131,1,10.7,76.0
-25.5,147.5,1,18.2,74.0
-34.5,115.5,1,6.0,55.0
-26,120,1,67.5,57.0
-24.5,120.5,1,28.0,58.0
-31,142,1,18.0,66.0
-23.5,118,1,277.6,97.0
-23.5,121,1,21.3,76.0
-17.5,134,1,18.1,57.0
-34,120,1,8.9,66.0
-34,138.5,1,27.7,77.0
-38,145.5,1,6.9,54.0
-25.5,133.5,1,29.8,64.0
-36.5,144,1,11.9,74.0
-27,147,1,8.6,57.0
-28,153.5,1,9.8,81.0
-34,151,1,6.0,59.0
-28.5,114.5,1,61.0,75.0
-21,123.5,1,45.8,65.0
-14,129.5,1,29.7,74.0
-31,124.5,1,11.0,66.0
-32,133.5,1,47.8,63.0
-34,139,1,51.8,94.0
-30.5,121,1,562.9,75.0
-25.5,146,1,18.5,84.0
-34.5,138,1,14.3,61.0
-35.5,142,1,8.4,55.0
-19,142.5,1,24.3,83.0
-21.5,130,1,17.4,86.0
-26.5,123.5,1,23.9,54.0
-23,114.5,1,26.2,64.0
-22,121.5,1,11.2,68.0
-26,145.5,1,8.3,58.0
-24,122,1,124.9,100.0
-23.5,130,1,15.4,79.0
-20.5,123,1,236.0,100.0
-36.5,143.5,1,88.9,98.0
-23,128.5,1,24.5,50.0
-21,124,1,46.1,100.0
-20,122.5,1,8.9,68.0
-16.5,141,1,19.9,67.0
-34,146,1,7.1,62.0
-27,120,1,11.6,54.0
-17.5,136,1,44.4,91.0
-17.5,135.5,1,26.1,82.0
-18.5,142,1,22.8,89.0
-19.5,126.5,1,71.1,87.0
-21.5,137,1,8.3,72.0
-27,122.5,1,34.2,72.0
-23.5,124,1,116.4,100.0
-24,120,1,12.0,64.0
-27.5,119,1,11.4,66.0
-32.5,119,1,18.0,78.0
-19.5,123,1,82.4,73.0
-33,138,1,23.8,89.0
-29.5,117.5,1,18.2,75.0
-25.5,132,1,7.7,71.0
-18,140.5,1,23.0,71.0
-25.5,126,1,13.7,88.0
-22,131.5,1,45.7,86.0
-34.5,140,1,10.2,61.0
-20.5,138.5,1,14.9,56.0
-23,122.5,1,10.4,87.0
-22,132.5,1,17.4,80.0
-32.5,124.5,1,86.6,100.0
-19,140,1,14.0,68.0
-43,146.5,1,10.7,68.0
-27,115.5,1,15.5,51.0
-22.5,114.5,1,27.2,52.0
-26.5,118,1,93.2,75.0
-33.5,117,1,18.4,77.0
-23,144,1,10.4,52.0
-33.5,118.5,1,30.2,82.0
-33,119.5,1,90.1,79.0
-26,126,1,55.9,69.0
-34,145.5,1,8.0,64.0
-33,152,1,12.3,69.0
-24.5,116.5,1,68.0,100.0
-19,145,1,8.1,64.0
-30,148,1,36.3,91.0
-24.5,142.5,1,58.6,54.0
-35,137.5,1,31.2,71.0
